"Abandoned Carts","Achtergelaten Winkelwagens"
"Viewed Products Grid Template","Bekeken producten Grid Template"
"Viewed Products List Template","Bekeken producten Lijst Template"
"Visible In","Zichtbaar in"
"Wishlist Report","Verlanglijst Verslag"
"Wishlist vs. Regular Order","Verlanglijst tegenover regelmatige bestelling"
"Wishlists","Verlanglijsten"
"Year","Jaar"
"Year-To-Date Starts","Jaar tot datum Start"
"Yes","Ja"
"Your Recently Compared","Uw Recent vergeleken"
"Your Recently Viewed","Uw Recent bekeken"
"undefined","ongedefinieerd" 
