"Quick Product Creation","Assistance cr&eacute;ation produits"
"Quick product creation","Assistance cr&eacute;ation produits"
"Attributes","Attributs"
"Editable","Editable"
"Apply default value","Appliquer une valeur par d&eacute;faut"
"Default value","Valeur par d&eacute;faut"
"Stock","Informations de stock"
"Manage stock","G&eacute;rer le stock"
"Display stock level input","Saisir le niveau de stock"
"Display notify qty input","Saisir le stock mini"
"Display back orders input","Saisir les commandes en rupture"
"Miscelaneous","Divers"
"Associate products to websites","Associer les produits aux websites"
"Default attribute set","Jeu d'attribut par d&eacute;faut"
"Add row","Ajouter une ligne"
"Create product(s)","Cr&eacute;er les produits"
"Error creating product %s : %s","Erreur lors de la cr&eacute;ation du produit %s : %s"
"Product %s (%s) created","Produit %s (%s) cr&eacute;&eacute;"
"Results","Rapport de cr&eacute;ation"
"edit","consulter"
"Back","Retour"
"Sku %s already used","Sku %s d&eacute;ja utilis&eacute;"
